GitHub Username,Earliest Commit Date,Commit URL,Repository
"=HYPERLINK(""https://github.com/tikr7"", ""tikr7"")",2023-12-19,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/3e08c959ddaff6fece3c80bb6c48cb17066b4756"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/sharmaansh21"", ""sharmaansh21"")",2023-12-20,"=HYPERLINK(""https://github.com/knative/client/commit/70805a67db57e5902613562cb893d343d23e5c83"", ""View Commit"")",knative/client
"=HYPERLINK(""https://github.com/shikharish"", ""shikharish"")",2023-12-22,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/0ed108c468be215c796a1b9faff20ff12aca0d6c"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/SD-13"", ""SD-13"")",2024-01-02,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/6dadadcda29db9ecd6cab90820ddc05049fb5099"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/professorabhay"", ""professorabhay"")",2024-01-04,"=HYPERLINK(""https://github.com/knative/docs/commit/777922060214df6ba80eb598cdd0c6abb811da91"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/pawarpranav83"", ""pawarpranav83"")",2024-01-12,"=HYPERLINK(""https://github.com/knative/eventing/commit/c7520cccd86eb21acea197a9d91b67a70fe8ce36"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/octonawish-akcodes"", ""octonawish-akcodes"")",2024-01-15,"=HYPERLINK(""https://github.com/knative/eventing/commit/42af160c3cfc244e26fa7bcd5db2c670ebdcf326"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/jacksgt"", ""jacksgt"")",2024-01-15,"=HYPERLINK(""https://github.com/knative/serving/commit/1e2faa3b3745f9e3f5a4786ae16e755e9bf90e66"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/lou-lan"", ""lou-lan"")",2024-01-15,"=HYPERLINK(""https://github.com/knative/serving/commit/752314ea57cbb37ea1d81606718c94e3d0a712c0"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/Zazzscoot"", ""Zazzscoot"")",2024-01-18,"=HYPERLINK(""https://github.com/knative/eventing/commit/fb9be2b67bf6c616792ead891916cbcae5c980c7"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/sadath-12"", ""sadath-12"")",2024-01-22,"=HYPERLINK(""https://github.com/knative/eventing/commit/44ff98b38212a812337725924a7fcd58be526a86"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/joshualyon"", ""joshualyon"")",2024-01-25,"=HYPERLINK(""https://github.com/knative-extensions/kn-plugin-operator/commit/cdc6654961bd077d1506ccb77473f35ca44b9129"", ""View Commit"")",knative-extensions/kn-plugin-operator
"=HYPERLINK(""https://github.com/lysliu"", ""lysliu"")",2024-01-26,"=HYPERLINK(""https://github.com/knative/docs/commit/c14943c4c31f09371457ddf4fccddac97e00e578"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/prashantrewar"", ""prashantrewar"")",2024-01-30,"=HYPERLINK(""https://github.com/knative/release/commit/ca423a01335d4e82a4dc95edd62c8b2c2f750bc6"", ""View Commit"")",knative/release
"=HYPERLINK(""https://github.com/yijie-04"", ""yijie-04"")",2024-01-30,"=HYPERLINK(""https://github.com/knative/eventing/commit/ff52881fc57db975af4ceefe589f50dcd7a01e92"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/Indrranil"", ""Indrranil"")",2024-01-31,"=HYPERLINK(""https://github.com/knative/community/commit/e5b53ab8e124bca286ca5499124e7b9fe4c1453f"", ""View Commit"")",knative/community
"=HYPERLINK(""https://github.com/converge"", ""converge"")",2024-02-02,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/6380b7b6b4967ad216ee30a71dc01a4a1815cce2"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/nrrso"", ""nrrso"")",2024-02-06,"=HYPERLINK(""https://github.com/knative/community/commit/cf25fc353b962dd5f9c1c8e0b4800eb92e56af0d"", ""View Commit"")",knative/community
"=HYPERLINK(""https://github.com/supu2"", ""supu2"")",2024-02-07,"=HYPERLINK(""https://github.com/knative/operator/commit/0f1bee4a554ec67c49963967e11e1d820481a7b6"", ""View Commit"")",knative/operator
"=HYPERLINK(""https://github.com/gunishmatta"", ""gunishmatta"")",2024-02-09,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/d6a383fff58047078c232f83bdcbe9e88d402891"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/Muhammad-Raiyan"", ""Muhammad-Raiyan"")",2024-02-13,"=HYPERLINK(""https://github.com/knative/serving/commit/212577294ecd8319b6cb6389cf9bc8de47b4af79"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/amarflybot"", ""amarflybot"")",2024-02-14,"=HYPERLINK(""https://github.com/knative/serving/commit/62839144d0e96088cfe469ad0de8bd2b707afb13"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/Sanket-0510"", ""Sanket-0510"")",2024-02-16,"=HYPERLINK(""https://github.com/knative/func/commit/d2fb76c39d5db6301a04ad78108c61e7da949a4b"", ""View Commit"")",knative/func
"=HYPERLINK(""https://github.com/igorchyts"", ""igorchyts"")",2024-02-19,"=HYPERLINK(""https://github.com/knative/docs/commit/4477889942daf822cef25014d043f5df3ae4aa85"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/satyampsoni"", ""satyampsoni"")",2024-02-19,"=HYPERLINK(""https://github.com/knative/eventing/commit/bb2c03b9d8794fc84588cb02f9de140296e5582e"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/ckcd"", ""ckcd"")",2024-02-20,"=HYPERLINK(""https://github.com/knative/networking/commit/630e71a2dbc7e948b1a016ed5f7ea0951aa78ebb"", ""View Commit"")",knative/networking
"=HYPERLINK(""https://github.com/mmejia02"", ""mmejia02"")",2024-02-27,"=HYPERLINK(""https://github.com/knative/ux/commit/2860bed4e3f48b194b5d8df55c86338108e6a8c4"", ""View Commit"")",knative/ux
